arm,outcome,model,subgroup_var,subgroup_level,N,events,AUROC,calibration_slope,calibration_intercept,TPR,FPR,positive_rate,equal_opportunity_diff,demographic_parity_diff,equalised_odds_diff
clinical,stillbirth,random_forest,mat_delivery_mode,Caesarean,19072.0,931.0,0.6771015457091072,0.6523518203265505,-0.9462092895681288,0.6251342642320086,0.37136872278264704,0.3837562919463087,,,
clinical,stillbirth,random_forest,mat_age_cat,_DISPARITY_,,,,,,,,,0.16041438481197523,0.1701054848279011,0.16041438481197523
clinical,stillbirth,random_forest,mat_delivery_mode,_DISPARITY_,,,,,,,,,0.1469408307860003,0.22197730573539398,0.23085058806762113
clinical,stillbirth,naive_bayes,mat_age_cat,20-34,70303.0,3237.0,0.664783164322999,1.0123813765193688,-0.028483615677105865,0.7791164658634538,0.52704798258432,0.5386541114888411,,,
clinical,stillbirth,naive_bayes,mat_age_cat,<20,18816.0,747.0,0.6825654861777437,1.1996682755389365,0.5115484716253389,0.6626506024096386,0.37279318169240133,0.38430059523809523,,,
clinical,stillbirth,naive_bayes,mat_age_cat,>=35,10786.0,792.0,0.656362630709739,0.895566489958377,0.06559651767834418,0.7954545454545454,0.5392235341204723,0.558038197663638,,,
clinical,stillbirth,naive_bayes,mat_delivery_mode,Vaginal spontaneous,69987.0,2605.0,0.6990299897835193,1.1433730469842736,0.17762128373707145,0.7117082533589252,0.4509809741473984,0.4606855558889508,,,
clinical,stillbirth,naive_bayes,mat_delivery_mode,Vaginal assisted,5149.0,324.0,0.5549424294761083,0.2972682072278405,-1.7963393909309342,0.4537037037037037,0.336580310880829,0.3439502816080792,,,
clinical,stillbirth,naive_bayes,mat_delivery_mode,Caesarean,19072.0,931.0,0.627525279214242,1.0170559425629973,0.10681244363809222,0.7948442534908701,0.5945096742186208,0.6042890100671141,,,
clinical,stillbirth,naive_bayes,mat_age_cat,_DISPARITY_,,,,,,,,,0.13280394304490684,0.17373760242554281,0.16643035242807097
clinical,stillbirth,naive_bayes,mat_delivery_mode,_DISPARITY_,,,,,,,,,0.34114054978716635,0.2603387284590349,0.34114054978716635
clinical,stillbirth,catboost,mat_age_cat,20-34,70303.0,3237.0,0.7454072142159475,0.9378071980745394,-0.19173051485949436,0.6549274019153537,0.28360122864044374,0.3006984054734506,,,
clinical,stillbirth,catboost,mat_age_cat,<20,18816.0,747.0,0.73968102935475,0.9273904124811039,-0.21867164424850363,0.5943775100401606,0.2411312192152305,0.2551551870748299,,,
clinical,stillbirth,catboost,mat_age_cat,>=35,10786.0,792.0,0.7429426089997433,0.8545971362194409,-0.29119682790438667,0.7790404040404041,0.4343606163698219,0.45966994251807897,,,
clinical,stillbirth,catboost,mat_delivery_mode,Vaginal spontaneous,69987.0,2605.0,0.743510805638987,0.9649092779893983,-0.2675425089618216,0.6030710172744722,0.24849366299605236,0.2616914569848686,,,
clinical,stillbirth,catboost,mat_delivery_mode,Vaginal assisted,5149.0,324.0,0.7284423974924839,0.7801274183566623,-0.1222462209722952,0.4722222222222222,0.12331606217616581,0.14527092639347447,,,
clinical,stillbirth,catboost,mat_delivery_mode,Caesarean,19072.0,931.0,0.6807885609745974,0.7020936388048776,-0.8140006718294813,0.59828141783029,0.3450195689322529,0.3573825503355705,,,
clinical,stillbirth,catboost,mat_age_cat,_DISPARITY_,,,,,,,,,0.1846628940002435,0.20451475544324904,0.19322939715459136
clinical,stillbirth,catboost,mat_delivery_mode,_DISPARITY_,,,,,,,,,0.13084879505225,0.212111623942096,0.22170350675608708
clinical,stillbirth,logistic,mat_age_cat,20-34,70303.0,3237.0,0.7154449066956401,1.0255739954999639,0.008057156642912053,0.7009576768612913,0.3778814898756449,0.39275706584356285,,,
clinical,stillbirth,logistic,mat_age_cat,<20,18816.0,747.0,0.7098225951197192,0.9152584932859308,-0.260112833467203,0.5595716198125836,0.26935635619015996,0.28087797619047616,,,
clinical,stillbirth,logistic,mat_age_cat,>=35,10786.0,792.0,0.714537497751176,1.0287729448299596,0.2850419544596758,0.8042929292929293,0.501801080648389,0.5240126089375116,,,
clinical,stillbirth,logistic,mat_delivery_mode,Vaginal spontaneous,69987.0,2605.0,0.728853200741457,1.336863258269848,0.7729124131618333,0.6406909788867562,0.32806981092873466,0.3397059453898581,,,
clinical,stillbirth,logistic,mat_delivery_mode,Vaginal assisted,5149.0,324.0,0.6544994562783855,1.012422504514458,0.4392572585543335,0.5092592592592593,0.2721243523316062,0.2870460283550204,,,
clinical,stillbirth,logistic,mat_delivery_mode,Caesarean,19072.0,931.0,0.6643345056160209,0.8654844452601589,-0.3409092368792849,0.6455424274973147,0.40736453337743234,0.41899119127516776,,,
clinical,stillbirth,logistic,mat_age_cat,_DISPARITY_,,,,,,,,,0.24472130948034565,0.2431346327470354,0.24472130948034565
clinical,stillbirth,logistic,mat_delivery_mode,_DISPARITY_,,,,,,,,,0.13628316823805542,0.13194516292014735,0.13628316823805542
clinical,stillbirth,mlp,mat_age_cat,20-34,70303.0,3237.0,0.7382978184953868,0.9813705570983393,-0.08901177627944222,0.6926166203274637,0.3416037932782632,0.35776567145072047,,,
clinical,stillbirth,mlp,mat_age_cat,<20,18816.0,747.0,0.7334132589909141,0.9706340045735065,-0.14051711323834606,0.6385542168674698,0.2996845425867508,0.31313775510204084,,,
clinical,stillbirth,mlp,mat_age_cat,>=35,10786.0,792.0,0.7432033083486456,0.9164614324361408,-0.05779672603910925,0.7714646464646465,0.4275565339203522,0.4528091971073614,,,
clinical,stillbirth,mlp,mat_delivery_mode,Vaginal spontaneous,69987.0,2605.0,0.7388501665041969,1.0640879986626757,0.0050711948570973785,0.6433781190019194,0.2966074025704194,0.309514624144484,,,
clinical,stillbirth,mlp,mat_delivery_mode,Vaginal assisted,5149.0,324.0,0.7116554723981321,0.822993917987107,-0.007104213992393279,0.46296296296296297,0.17056994818652849,0.18896873179258108,,,
clinical,stillbirth,mlp,mat_delivery_mode,Caesarean,19072.0,931.0,0.6755687382836122,0.7602979042043297,-0.6550851064971107,0.644468313641246,0.404773716994653,0.41647441275167785,,,
clinical,stillbirth,mlp,mat_age_cat,_DISPARITY_,,,,,,,,,0.1329104295971767,0.13967144200532056,0.1329104295971767
clinical,stillbirth,mlp,mat_delivery_mode,_DISPARITY_,,,,,,,,,0.18150535067828305,0.22750568095909676,0.2342037688081245
clinical,neonatal,svm,mat_age_cat,20-34,61234.0,741.0,0.7402897554781156,1.007273960802454,-0.03214389608598579,0.562753036437247,0.18253351627461029,0.1871345984257112,,,
clinical,neonatal,svm,mat_age_cat,<20,16409.0,241.0,0.6957280504905956,1.2082626977143276,1.118778069789121,0.45643153526970953,0.15994557149925778,0.16430007922481565,,,
clinical,neonatal,svm,mat_age_cat,>=35,9351.0,123.0,0.7525774331215354,0.8704561412518871,-0.5823127620211623,0.6016260162601627,0.2223667100130039,0.22735536306277404,,,
clinical,neonatal,svm,mat_delivery_mode,Vaginal spontaneous,64809.0,696.0,0.7225924938385548,1.326004236244283,1.3891706923443237,0.46551724137931033,0.09579960382449737,0.0997700936598312,,,
clinical,neonatal,svm,mat_delivery_mode,Vaginal assisted,4814.0,118.0,0.7565427121531487,0.839080549304552,-0.3802249507544115,0.8305084745762712,0.567504258943782,0.5739509763190693,,,
clinical,neonatal,svm,mat_delivery_mode,Caesarean,17398.0,291.0,0.6558868307561643,0.7633112664942363,-0.8943389878277341,0.6082474226804123,0.4006547027532589,0.4041269111392114,,,
clinical,neonatal,svm,mat_age_cat,_DISPARITY_,,,,,,,,,0.14519448099045312,0.06305528383795839,0.14519448099045312
clinical,neonatal,svm,mat_delivery_mode,_DISPARITY_,,,,,,,,,0.36499123319696086,0.47418088265923813,0.4717046551192846
clinical,neonatal,lightgbm,mat_age_cat,20-34,61234.0,741.0,0.7687896122443139,0.9545636497851475,-0.19075714761904033,0.5721997300944669,0.17575587258029854,0.18055328738935886,,,
clinical,neonatal,lightgbm,mat_age_cat,<20,16409.0,241.0,0.7359912310778322,0.9426480757624781,-0.1976051100272426,0.6265560165975104,0.26880257298367144,0.2740569199829362,,,
clinical,neonatal,lightgbm,mat_age_cat,>=35,9351.0,123.0,0.7656280285169561,0.9087069554397033,-0.34081501055948654,0.5772357723577236,0.18053749458170784,0.18575553416746873,,,
clinical,neonatal,lightgbm,mat_delivery_mode,Vaginal spontaneous,64809.0,696.0,0.7621958696848291,0.9286665707192852,-0.263423672350168,0.47844827586206895,0.08165270693931027,0.08591399342683886,,,
clinical,neonatal,lightgbm,mat_delivery_mode,Vaginal assisted,4814.0,118.0,0.7538411702711287,1.0590507677811065,0.26206625124383903,0.8305084745762712,0.6122231686541738,0.6175737432488575,,,
